date,symbol,exchange,company_name,stock_price_close,option_symbol,option_expiration,strike,call_put,style,open,high,low,close,bid,ask,mean_price,settlement,volume,open_interest,stock_price_for_iv
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00100000,10/18/2019,100.000,C,A,51.820,51.820,51.820,51.820,51.560,51.780,51.670,0.000,15,15,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00100000,10/18/2019,100.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,1880,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00101000,10/18/2019,101.000,C,A,0.000,0.000,0.000,0.000,50.560,50.780,50.670,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00101000,10/18/2019,101.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,735,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00102000,10/18/2019,102.000,C,A,0.000,0.000,0.000,0.000,49.560,49.780,49.670,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00102000,10/18/2019,102.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,19,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00103000,10/18/2019,103.000,C,A,0.000,0.000,0.000,0.000,48.560,48.800,48.680,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00103000,10/18/2019,103.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,102,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00104000,10/18/2019,104.000,C,A,0.000,0.000,0.000,0.000,47.540,47.800,47.670,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00104000,10/18/2019,104.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,137,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00105000,10/18/2019,105.000,C,A,0.000,0.000,0.000,0.000,46.540,46.810,46.675,0.000,0,2,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00105000,10/18/2019,105.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,1175,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00106000,10/18/2019,106.000,C,A,0.000,0.000,0.000,0.000,45.540,45.800,45.670,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00106000,10/18/2019,106.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,5,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00107000,10/18/2019,107.000,C,A,0.000,0.000,0.000,0.000,44.570,44.800,44.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00107000,10/18/2019,107.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,42,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00108000,10/18/2019,108.000,C,A,0.000,0.000,0.000,0.000,43.570,43.800,43.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00108000,10/18/2019,108.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,130,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00109000,10/18/2019,109.000,C,A,0.000,0.000,0.000,0.000,42.570,42.800,42.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00109000,10/18/2019,109.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,184,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00110000,10/18/2019,110.000,C,A,0.000,0.000,0.000,0.000,41.570,41.800,41.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00110000,10/18/2019,110.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,124,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00111000,10/18/2019,111.000,C,A,0.000,0.000,0.000,0.000,40.570,40.800,40.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00111000,10/18/2019,111.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,216,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00112000,10/18/2019,112.000,C,A,0.000,0.000,0.000,0.000,39.570,39.800,39.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00112000,10/18/2019,112.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,10,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00113000,10/18/2019,113.000,C,A,0.000,0.000,0.000,0.000,38.570,38.800,38.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00113000,10/18/2019,113.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,321,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00114000,10/18/2019,114.000,C,A,0.000,0.000,0.000,0.000,37.570,37.800,37.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00114000,10/18/2019,114.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,226,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00115000,10/18/2019,115.000,C,A,0.000,0.000,0.000,0.000,36.570,36.800,36.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00115000,10/18/2019,115.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,698,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00116000,10/18/2019,116.000,C,A,0.000,0.000,0.000,0.000,35.570,35.800,35.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00116000,10/18/2019,116.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,34,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00117000,10/18/2019,117.000,C,A,0.000,0.000,0.000,0.000,34.570,34.800,34.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00117000,10/18/2019,117.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,14,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00118000,10/18/2019,118.000,C,A,0.000,0.000,0.000,0.000,33.540,33.810,33.675,0.000,0,1,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00118000,10/18/2019,118.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,30,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00119000,10/18/2019,119.000,C,A,0.000,0.000,0.000,0.000,32.570,32.800,32.685,0.000,0,0,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00119000,10/18/2019,119.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,131,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00120000,10/18/2019,120.000,C,A,0.000,0.000,0.000,0.000,31.570,31.800,31.685,0.000,0,27,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00120000,10/18/2019,120.000,P,A,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0,1849,151.650
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00121000,10/18/2019,121.000,C,A,0.000,0.000,0.000,0.000,30.570,30.800,30.685,0.000,0,0,151.650
